Animal_tissue;Arginine;Histidine;Lysine;Phenylalanine;Tyrosisne;Tryptophane;Serine;Threonine;Cystine_G;Cystine__S;Methionine_B;Methionine_S;Total_S;Organic_S
Beef;6,91;2,25;8,11;4,92;4,3;1,35;5,43;4,57;1,29;0,94;3,17;3,11;1,09;1,07
Veal;7,54;2,39;9,62;4,41;4,86;1,39;6,06;5,1;1,34;0,99;3,28;3,62;1,14;1,12
Lamb;7,59;2,37;8,68;4,47;4,89;1,44;6,29;5,28;1,42;0,99;3,06;3,28;1,15;1,13
Pork;6,62;2,16;8,65;3,95;4,41;1,31;4,57;4,61;1,14;0,99;3,42;3,22;1,03;1,02
Chickenlight;6,91;2,34;8,44;3,85;4,23;1,3;4,72;4,66;1,26;0,82;3,28;3,35;1,06;1,04
Chicken_dark;7,08;2,28;8,42;4,61;4,34;1,22;5,45;4,58;1,28;0,88;2,95;3,64;1,05;1,04
Turtle;6,71;2,27;7,7;4,32;4,63;1,41;6,35;4,86;1,28;0,58;2,98;4,11;1,15;1,07
Frog;6,62;2,1;7,99;4,66;4,67;1,38;6,32;4,92;1,29;0,86;3,17;3,19;1,14;1,06
Salmon;6,39;2,3;9;4,52;4,38;1,38;3,96;4,19;1,22;0,74;3,16;3,78;1,22;1,22
Codfishlj;6,26;2,04;8,4;4,28;4,54;1,28;4,94;4,52;1,19;1,04;3,24;3,74;1,26;1,19
Shrimp;6,56;1,8;8,34;4,77;4,74;1,24;3,99;3,96;1,1;0,99;2,99;3,42;1,24;1,16
Beef_heart;7,44;2,13;7,1;5,1;4,42;1,41;5,93;4,69;1,23;1,06;3,01;3,2;1,09;1,07
Beef_Liver;6,63;1,98;6,02;6,06;4,59;1,81;7,25;4,79;1,55;1,12;2,4;2,9;1,17;1,11
Beef_Kidney;6,93;2,31;6,21;5,47;4,62;1,81;6,11;4,55;1,81;1,16;2,68;2,8;1,15;1,1
Beef_Brain;6,38;2,52;5,98;5,83;5,1;1,64;7,06;5,33;1,95;1,38;2,66;2,95;1,1;1,03
Beef_Lung;6,29;1,94;5,75;4,09;3,76;1,11;6,66;3,83;1,53;0,95;1,8;2,51;1,05;0,96
Beef_Stomach;6,6;1,69;5,82;3,32;3,74;0,95;7;3,78;1,04;0,97;2,02;2,75;0,99;0,98
